graph type,n,p,algorithm,time,alloc
B,100,128,mohripKShortest12,14031,15089309728
B,100,16,mohripKShortest12,3092,3237497560
B,100,2,mohripKShortest12,836,898078384
B,100,256,mohripKShortest12,9824,10628514440
B,100,32,mohripKShortest12,5828,6322610360
B,100,4,mohripKShortest12,758,825335360
B,100,64,mohripKShortest12,8290,9023766744
B,100,8,mohripKShortest12,1798,1922370328
B,150,128,mohripKShortest12,24642,26912602680
B,150,16,mohripKShortest12,5925,6355385376
B,150,2,mohripKShortest12,1370,1523632280
B,150,256,mohripKShortest12,31522,34358439232
B,150,32,mohripKShortest12,17105,18588804488
B,150,4,mohripKShortest12,2475,2629248944
B,150,64,mohripKShortest12,16700,18306041112
B,150,8,mohripKShortest12,3400,3610718688
B,200,128,mohripKShortest12,50838,57187627848
B,200,16,mohripKShortest12,10238,11220333128
B,200,2,mohripKShortest12,3861,4250733624
B,200,256,mohripKShortest12,56050,62662287048
B,200,32,mohripKShortest12,29989,33374774344
B,200,4,mohripKShortest12,4290,4739426632
B,200,64,mohripKShortest12,44650,50069880440
B,200,8,mohripKShortest12,6018,6637751664
B,250,128,mohripKShortest12,96394,110577940872
B,250,16,mohripKShortest12,13359,14994600032
B,250,2,mohripKShortest12,4432,5130426800
B,250,256,mohripKShortest12,109698,126253302096
B,250,32,mohripKShortest12,29322,33472728872
B,250,4,mohripKShortest12,5735,6557835312
B,250,64,mohripKShortest12,45275,51683405616
B,250,8,mohripKShortest12,13234,14738173384
B,300,128,mohripKShortest12,132649,148809446768
B,300,16,mohripKShortest12,33013,35153416784
B,300,2,mohripKShortest12,8020,9217226032
B,300,256,mohripKShortest12,191432,221943845672
B,300,32,mohripKShortest12,36869,40966491376
B,300,4,mohripKShortest12,9530,10617943192
B,300,64,mohripKShortest12,67907,74009626336
B,300,8,mohripKShortest12,11468,12622363248
B,350,128,mohripKShortest12,172624,198963623080
B,350,16,mohripKShortest12,28293,31890199872
B,350,2,mohripKShortest12,10972,12040180728
