graph type,n,p,algorithm,time,alloc
B,100,128,mohripKShortest8,6106,7035331344
B,100,16,mohripKShortest8,1681,1768066328
B,100,2,mohripKShortest8,453,536173176
B,100,256,mohripKShortest8,4688,5297095736
B,100,32,mohripKShortest8,3086,3579570272
B,100,4,mohripKShortest8,437,506433040
B,100,64,mohripKShortest8,3803,4410039320
B,100,8,mohripKShortest8,1010,1118739104
B,150,128,mohripKShortest8,12569,14449362520
B,150,16,mohripKShortest8,3460,3878618864
B,150,2,mohripKShortest8,901,1076086104
B,150,256,mohripKShortest8,15300,17732369888
B,150,32,mohripKShortest8,9241,10636898232
B,150,4,mohripKShortest8,1386,1568613648
B,150,64,mohripKShortest8,8330,9650308408
B,150,8,mohripKShortest8,1872,2110119032
B,200,128,mohripKShortest8,29387,34943587096
B,200,16,mohripKShortest8,5790,6835306656
B,200,2,mohripKShortest8,2429,2821043712
B,200,256,mohripKShortest8,29219,34908923048
B,200,32,mohripKShortest8,15599,18407852496
B,200,4,mohripKShortest8,2694,3165473528
B,200,64,mohripKShortest8,24747,29515719664
B,200,8,mohripKShortest8,3694,4313265360
B,250,128,mohripKShortest8,52868,64540468120
B,250,16,mohripKShortest8,8138,9778723784
B,250,2,mohripKShortest8,3204,3955766336
B,250,256,mohripKShortest8,60614,73861888256
B,250,32,mohripKShortest8,18063,21799186752
B,250,4,mohripKShortest8,3827,4685980776
B,250,64,mohripKShortest8,26524,32320604144
B,250,8,mohripKShortest8,7886,9397312832
B,300,128,mohripKShortest8,74537,88926807720
B,300,16,mohripKShortest8,19532,21707116480
B,300,2,mohripKShortest8,5836,7061907976
B,300,256,mohripKShortest8,109699,136179268880
B,300,32,mohripKShortest8,22018,26055150072
B,300,4,mohripKShortest8,6899,7977576520
B,300,64,mohripKShortest8,40617,48217565552
B,300,8,mohripKShortest8,8206,9316479760
B,350,128,mohripKShortest8,96614,118790823288
B,350,16,mohripKShortest8,18182,22310905336
B,350,2,mohripKShortest8,8211,9799825720
B,350,256,mohripKShortest8,174241,192185651816
B,350,32,mohripKShortest8,36658,42985094184
B,350,4,mohripKShortest8,10524,12134345272
B,350,64,mohripKShortest8,71524,88879206936
B,350,8,mohripKShortest8,13461,16697823008
B,400,128,mohripKShortest8,151803,194267050592
B,400,16,mohripKShortest8,19027,23846162496
B,400,2,mohripKShortest8,14271,17248022984
B,400,256,mohripKShortest8,314924,379758479728
B,400,32,mohripKShortest8,48692,60612097608
B,400,4,mohripKShortest8,13662,16277928160
B,400,64,mohripKShortest8,54952,68055875024
B,400,8,mohripKShortest8,14305,18079544376
B,50,128,mohripKShortest8,1256,1268991144
B,50,16,mohripKShortest8,524,537979440
B,50,2,mohripKShortest8,184,196605048
B,50,256,mohripKShortest8,1186,1216889912
B,50,32,mohripKShortest8,594,596307776
B,50,4,mohripKShortest8,161,165152184
B,50,64,mohripKShortest8,925,938523752
B,50,8,mohripKShortest8,271,290581576
C,100,128,mohripKShortest8,8807,9546529304
C,100,16,mohripKShortest8,1707,1865948632
C,100,2,mohripKShortest8,507,537281712
C,100,256,mohripKShortest8,5684,6267621752
C,100,32,mohripKShortest8,2639,2877322248
C,100,4,mohripKShortest8,498,532892840
C,100,64,mohripKShortest8,6022,6617710248
C,100,8,mohripKShortest8,781,815246656
C,150,128,mohripKShortest8,21037,23050203536
C,150,16,mohripKShortest8,3229,3507460656
C,150,2,mohripKShortest8,1074,1131441584
C,150,256,mohripKShortest8,17658,18261170432
C,150,32,mohripKShortest8,6966,7196275008
C,150,4,mohripKShortest8,1738,1846794000
C,150,64,mohripKShortest8,9336,10053292416
C,150,8,mohripKShortest8,1287,1386697352
C,200,128,mohripKShortest8,35015,39846259064
C,200,16,mohripKShortest8,4053,4601515712
C,200,2,mohripKShortest8,2846,2418641704
C,200,256,mohripKShortest8,45962,52275893184
C,200,32,mohripKShortest8,9244,9646611880
C,200,4,mohripKShortest8,2754,2571175608
C,200,64,mohripKShortest8,18280,20497593648
C,200,8,mohripKShortest8,4653,4843956360
C,250,128,mohripKShortest8,49247,56036521744
C,250,16,mohripKShortest8,5946,6763947936
C,250,2,mohripKShortest8,3942,4571875888
C,250,256,mohripKShortest8,60834,71478838384
C,250,32,mohripKShortest8,14375,16324851184
C,250,4,mohripKShortest8,3539,4142107576
C,250,64,mohripKShortest8,29333,33673427760
C,250,8,mohripKShortest8,6098,6982177320
C,300,128,mohripKShortest8,69050,81977017400
C,300,16,mohripKShortest8,10129,11507313344
C,300,2,mohripKShortest8,5931,6877900800
C,300,256,mohripKShortest8,103147,122955138968
C,300,32,mohripKShortest8,14421,16566496672
C,300,4,mohripKShortest8,7535,8622641376
C,300,64,mohripKShortest8,35613,40498539704
C,300,8,mohripKShortest8,8192,9012380016
C,350,128,mohripKShortest8,90115,95576764528
C,350,16,mohripKShortest8,16939,19686204360
C,350,2,mohripKShortest8,8238,10045353144
C,350,256,mohripKShortest8,168828,203639915752
C,350,32,mohripKShortest8,33412,39414533280
C,350,4,mohripKShortest8,8922,10704960368
C,350,64,mohripKShortest8,45640,54621546032
C,350,8,mohripKShortest8,10120,12311484672
C,400,128,mohripKShortest8,82077,101725862832
C,400,16,mohripKShortest8,19168,23336861416
C,400,2,mohripKShortest8,11287,14399812232
C,400,256,mohripKShortest8,141274,177752287648
C,400,32,mohripKShortest8,35873,43753881160
C,400,4,mohripKShortest8,12221,15170060040
C,400,64,mohripKShortest8,51783,63651910224
C,400,8,mohripKShortest8,14646,18279906600
C,50,128,mohripKShortest8,1396,1422498040
C,50,16,mohripKShortest8,340,343971264
C,50,2,mohripKShortest8,98,102495704
C,50,256,mohripKShortest8,1259,1264135896
C,50,32,mohripKShortest8,1095,1107289264
C,50,4,mohripKShortest8,279,272957240
C,50,64,mohripKShortest8,920,898728512
C,50,8,mohripKShortest8,442,442082376
U,100,1,mohripKShortest8,399,433490072
U,150,1,mohripKShortest8,1031,1132981864
U,200,1,mohripKShortest8,1973,2322285416
U,250,1,mohripKShortest8,3451,4127401480
U,300,1,mohripKShortest8,5448,6674341544
U,350,1,mohripKShortest8,8111,10089069984
U,400,1,mohripKShortest8,11435,14497617040
U,50,1,mohripKShortest8,98,97826440
