12,241692,290904363688
12,27558,32527341408
12,19946,22551324176
12,526812,613907195176
12,75746,87830208656
12,18692,20202862680
12,88470,100117669592
12,20475,23956748312
16,379257,438527788080
16,39045,43963870032
16,27995,30047514008
16,831499,928593724536
16,112933,126874989376
16,24651,25626903720
16,133202,147560948960
16,28436,31897305424
20,548153,614318072936
20,54635,59750246120
20,39212,40054688176
20,1234507,1323577671120
20,171118,177843042448
20,31507,32633790248
20,190391,205842738336
20,39868,42539412856
4,81607,111478073336
4,12428,17003642752
4,10883,13636094280
4,149786,205814295072
4,28298,37134447928
4,11429,13716975736
4,32374,43217968576
4,10673,14476751608
8,151803,194267050592
8,19027,23846162496
8,14271,17248022984
8,314924,379758479728
8,48692,60612097608
8,13662,16277928160
8,54952,68055875024
8,14305,18079544376
