graph type,n,p,algorithm,time,alloc
B,100,128,mohriKShortest8,2115,2459186304
B,100,16,mohriKShortest8,3214,3720578560
B,100,2,mohriKShortest8,741,875568064
B,100,256,mohriKShortest8,13589,15915931560
B,100,32,mohriKShortest8,8119,9567670872
B,100,4,mohriKShortest8,464,516034752
B,100,64,mohriKShortest8,4797,5637760288
B,100,8,mohriKShortest8,1850,2099111992
B,150,128,mohriKShortest8,25745,30119406488
B,150,16,mohriKShortest8,20746,24480764992
B,150,2,mohriKShortest8,1253,1438811704
B,150,256,mohriKShortest8,74033,86955123712
B,150,32,mohriKShortest8,37097,43718498120
B,150,4,mohriKShortest8,2151,2460321752
B,150,64,mohriKShortest8,20175,23769992552
B,150,8,mohriKShortest8,5884,6854691472
B,200,128,mohriKShortest8,75376,91740453208
B,200,16,mohriKShortest8,12264,14670791408
B,200,2,mohriKShortest8,5256,5972446864
B,200,256,mohriKShortest8,90909,109395618480
B,200,32,mohriKShortest8,80236,96956556464
B,200,4,mohriKShortest8,6130,7251256944
B,200,64,mohriKShortest8,116618,141272922192
B,200,8,mohriKShortest8,6357,7677848168
B,250,128,mohriKShortest8,421753,520646048080
B,250,16,mohriKShortest8,29543,36072635968
B,250,2,mohriKShortest8,5552,6701472840
B,250,256,mohriKShortest8,262528,322153916432
B,250,32,mohriKShortest8,24165,29224711776
B,250,4,mohriKShortest8,7149,8789907824
B,250,64,mohriKShortest8,96068,118126466296
B,250,8,mohriKShortest8,16849,20601812048
B,300,128,mohriKShortest8,134548,169027807120
B,300,16,mohriKShortest8,92132,104998236544
B,300,2,mohriKShortest8,14639,17733828992
B,300,256,mohriKShortest8,477165,553523246328
B,300,32,mohriKShortest8,25713,30467149520
B,300,4,mohriKShortest8,25190,30821907264
B,300,64,mohriKShortest8,157871,196570596400
B,300,8,mohriKShortest8,10359,12000684688
B,350,128,mohriKShortest8,776527,935059978392
B,350,16,mohriKShortest8,55695,69257018504
B,350,2,mohriKShortest8,9424,10774524336
B,350,256,mohriKShortest8,787350,988565832344
B,350,32,mohriKShortest8,40024,47415315176
B,350,4,mohriKShortest8,27465,31930010976
B,350,64,mohriKShortest8,331626,415503274328
B,350,8,mohriKShortest8,22575,27971056280
B,400,128,mohriKShortest8,537317,693591321064
B,400,16,mohriKShortest8,96948,124396383552
B,400,2,mohriKShortest8,26727,33697901872
B,400,256,mohriKShortest8,1046036,1352139596728
B,400,32,mohriKShortest8,176950,223335331784
B,400,4,mohriKShortest8,25478,29529935976
B,400,64,mohriKShortest8,401475,483586017360
B,400,8,mohriKShortest8,19623,25059654272
B,50,128,mohriKShortest8,1340,1429505408
B,50,16,mohriKShortest8,731,748502224
B,50,2,mohriKShortest8,197,196630600
B,50,256,mohriKShortest8,2429,2488525600
B,50,32,mohriKShortest8,1417,1406313296
B,50,4,mohriKShortest8,206,221602240
B,50,64,mohriKShortest8,1433,1519779328
B,50,8,mohriKShortest8,406,429904792
C,100,128,mohriKShortest8,10424,11407183152
C,100,16,mohriKShortest8,1803,1919094776
C,100,2,mohriKShortest8,469,498605408
C,100,256,mohriKShortest8,5886,6332111304
C,100,32,mohriKShortest8,2184,2303847360
C,100,4,mohriKShortest8,567,610061600
C,100,64,mohriKShortest8,6748,7400055856
C,100,8,mohriKShortest8,1046,1024125760
C,150,128,mohriKShortest8,26248,29774000640
C,150,16,mohriKShortest8,3855,4030988176
C,150,2,mohriKShortest8,1226,1256284464
C,150,256,mohriKShortest8,19360,20566600816
C,150,32,mohriKShortest8,9182,8835255768
C,150,4,mohriKShortest8,1663,1737594432
C,150,64,mohriKShortest8,9947,10421085088
C,150,8,mohriKShortest8,1617,1697847224
C,200,128,mohriKShortest8,37633,43295129200
C,200,16,mohriKShortest8,3250,3661320760
C,200,2,mohriKShortest8,2679,2668764232
C,200,256,mohriKShortest8,55075,64255257360
C,200,32,mohriKShortest8,8845,8729117600
C,200,4,mohriKShortest8,2897,2657906272
C,200,64,mohriKShortest8,25843,23487765288
C,200,8,mohriKShortest8,4202,4724687288
C,250,128,mohriKShortest8,47061,52520716984
C,250,16,mohriKShortest8,6411,7340737000
C,250,2,mohriKShortest8,4143,4700025944
C,250,256,mohriKShortest8,59483,69813588952
C,250,32,mohriKShortest8,15764,17930468264
C,250,4,mohriKShortest8,4271,4876070568
C,250,64,mohriKShortest8,36484,41377526736
C,250,8,mohriKShortest8,6633,7588107952
C,300,128,mohriKShortest8,68864,82644596224
C,300,16,mohriKShortest8,9502,11195009288
C,300,2,mohriKShortest8,6375,7669444192
C,300,256,mohriKShortest8,120483,144660009088
C,300,32,mohriKShortest8,16696,18708773624
C,300,4,mohriKShortest8,7335,8349951624
C,300,64,mohriKShortest8,34812,39459532424
C,300,8,mohriKShortest8,10351,10467584424
C,350,128,mohriKShortest8,88875,101439319064
C,350,16,mohriKShortest8,23348,27372863864
C,350,2,mohriKShortest8,9338,11335625840
C,350,256,mohriKShortest8,192943,233321658016
C,350,32,mohriKShortest8,45778,52618538288
C,350,4,mohriKShortest8,9104,10977224704
C,350,64,mohriKShortest8,58570,70748099464
C,350,8,mohriKShortest8,10922,13213555344
C,400,128,mohriKShortest8,118560,147724955896
C,400,16,mohriKShortest8,19917,24280208824
C,400,2,mohriKShortest8,12431,15398715024
C,400,256,mohriKShortest8,147583,186284238624
C,400,32,mohriKShortest8,34706,42335823200
C,400,4,mohriKShortest8,13102,16295102720
C,400,64,mohriKShortest8,50185,61609485064
C,400,8,mohriKShortest8,18504,22624595104
C,50,128,mohriKShortest8,1550,1600288952
C,50,16,mohriKShortest8,310,311007744
C,50,2,mohriKShortest8,133,129541104
C,50,256,mohriKShortest8,1295,1319781776
C,50,32,mohriKShortest8,920,939393104
C,50,4,mohriKShortest8,228,217213272
C,50,64,mohriKShortest8,936,959583048
C,50,8,mohriKShortest8,438,442610136
U,100,1,mohriKShortest8,507,566691496
U,150,1,mohriKShortest8,1214,1372745496
U,200,1,mohriKShortest8,2364,2695319496
U,250,1,mohriKShortest8,3968,4660413496
U,300,1,mohriKShortest8,6073,7394027496
U,350,1,mohriKShortest8,9108,11022161496
U,400,1,mohriKShortest8,12780,15670815496
U,50,1,mohriKShortest8,155,151157496
