12,129006,150793381520
12,27128,31420828944
12,14854,17638350168
12,234187,278640724944
12,56756,65260609712
12,16251,18897167664
12,80121,92705078536
12,18375,21487707144
16,198671,222817408576
16,38520,42449654232
16,19114,21732051192
16,359794,409640746240
16,84079,92607603568
16,21510,24031011512
16,117200,129474956200
16,25628,28609892304
20,289642,314654415336
20,52176,56076375504
20,24670,26833634752
20,538234,590968248264
20,121067,129066083072
20,28374,30739122984
20,163315,175636001064
20,34086,36928405744
4,45576,61063999888
4,13416,17888451056
4,8777,12206791544
4,73723,100565454816
4,21395,28369352648
4,9228,12562934064
4,34518,44700538280
4,10241,14114267112
8,82077,101725862832
8,19168,23336861416
8,11287,14399812232
8,141274,177752287648
8,35873,43753881160
8,12221,15170060040
8,51783,63651910224
8,14646,18279906600
