graph type,n,p,algorithm,time,alloc
C,300,128,mohriKShortest20,300700,319505082832
C,300,16,mohriKShortest20,33637,34683817672
C,300,2,mohriKShortest20,20172,20149628904
C,300,256,mohriKShortest20,579722,612433619792
C,300,32,mohriKShortest20,59293,61012459752
C,300,4,mohriKShortest20,23292,23648026736
C,300,64,mohriKShortest20,128529,129960956400
C,300,8,mohriKShortest20,41699,39856319824
C,350,128,mohriKShortest20,363312,340510499280
C,350,16,mohriKShortest20,91810,93458881440
C,350,2,mohriKShortest20,26111,27151555936
C,350,256,mohriKShortest20,902590,932551447304
C,350,32,mohriKShortest20,153561,163450835704
C,350,4,mohriKShortest20,23512,24832434032
C,350,64,mohriKShortest20,256917,276605323016
C,350,8,mohriKShortest20,31722,33467655224
C,400,128,mohriKShortest20,481267,527072549144
C,400,16,mohriKShortest20,56810,60264118888
C,400,2,mohriKShortest20,31400,33244904688
C,400,256,mohriKShortest20,604082,666299925880
C,400,32,mohriKShortest20,123466,132159025496
C,400,4,mohriKShortest20,33851,36122146696
C,400,64,mohriKShortest20,195017,211201819456
C,400,8,mohriKShortest20,52297,55905976768
C,50,128,mohriKShortest20,12450,12371986312
C,50,16,mohriKShortest20,1999,1919288840
C,50,2,mohriKShortest20,947,910291600
C,50,256,mohriKShortest20,10502,10405761096
C,50,32,mohriKShortest20,7112,7114066752
C,50,4,mohriKShortest20,1823,1788119304
C,50,64,mohriKShortest20,7300,7301763856
C,50,8,mohriKShortest20,3725,3670738760
U,100,1,mohriKShortest20,4271,4321053904
U,150,1,mohriKShortest20,7740,7793138304
U,200,1,mohriKShortest20,12124,12308662704
U,250,1,mohriKShortest20,17348,17993627104
U,300,1,mohriKShortest20,23746,24974031504
U,350,1,mohriKShortest20,31639,33375875904
U,400,1,mohriKShortest20,40448,43325160304
U,50,1,mohriKShortest20,1809,1766409504
