graph type,n,p,algorithm,time,alloc
B,100,128,mohriKShortest20,14092,14749998344
B,100,16,mohriKShortest20,16622,17412753160
B,100,2,mohriKShortest20,4085,4224480624
B,100,256,mohriKShortest20,87941,92327717000
B,100,32,mohriKShortest20,43634,46020230328
B,100,4,mohriKShortest20,2188,2228989400
B,100,64,mohriKShortest20,37603,39660172760
B,100,8,mohriKShortest20,7971,8314902272
B,150,128,mohriKShortest20,154441,162883396072
B,150,16,mohriKShortest20,79907,84782838608
B,150,2,mohriKShortest20,5221,5336670392
B,150,256,mohriKShortest20,492850,519268528152
B,150,32,mohriKShortest20,187310,197893278240
B,150,4,mohriKShortest20,9846,10083721304
B,150,64,mohriKShortest20,118954,125933134408
B,150,8,mohriKShortest20,25019,26160728312
B,200,128,mohriKShortest20,302072,326854334032
B,200,16,mohriKShortest20,54612,58159028456
B,200,2,mohriKShortest20,14747,15648717416
B,200,256,mohriKShortest20,508983,548333326928
B,200,32,mohriKShortest20,300524,324808976936
B,200,4,mohriKShortest20,22386,23639243480
B,200,64,mohriKShortest20,680101,735570911296
B,200,8,mohriKShortest20,21219,22525985416
B,250,128,mohriKShortest20,2125680,2334334821392
B,250,16,mohriKShortest20,101839,109675311032
B,250,2,mohriKShortest20,17612,18817135696
B,250,256,mohriKShortest20,1353872,1480064553704
B,250,32,mohriKShortest20,97278,104879364600
B,250,4,mohriKShortest20,21514,23206931736
B,250,64,mohriKShortest20,377537,412547142160
B,250,8,mohriKShortest20,56133,60714568120
B,300,128,mohriKShortest20,774991,844497803704
B,300,16,mohriKShortest20,269941,273889148208
B,300,2,mohriKShortest20,39881,42044188088
B,300,256,mohriKShortest20,2232208,2368149570592
B,300,32,mohriKShortest20,103959,104661291616
B,300,4,mohriKShortest20,72501,77576338480
B,300,64,mohriKShortest20,518646,538206030480
B,300,8,mohriKShortest20,34997,35887747056
B,350,128,mohriKShortest20,3187417,3480143371736
B,350,16,mohriKShortest20,155711,168887369176
B,350,2,mohriKShortest20,24675,24504685072
B,350,256,mohriKShortest20,3212242,3389326571824
B,350,32,mohriKShortest20,122792,128261189800
B,350,4,mohriKShortest20,64766,67861436976
B,350,64,mohriKShortest20,1185912,1327753281248
B,350,8,mohriKShortest20,77202,84230558712
B,400,128,mohriKShortest20,2129619,2424884435568
B,400,16,mohriKShortest20,258897,291752319664
B,400,2,mohriKShortest20,74445,73684644264
B,400,256,mohriKShortest20,5016240,5339903867048
B,400,32,mohriKShortest20,539184,589413251976
B,400,4,mohriKShortest20,59094,59863627744
B,400,64,mohriKShortest20,1217404,1345232940904
B,400,8,mohriKShortest20,44815,49000668256
B,50,128,mohriKShortest20,10838,10863766928
B,50,16,mohriKShortest20,4707,4773015024
B,50,2,mohriKShortest20,1405,1380067448
B,50,256,mohriKShortest20,17972,17854631200
B,50,32,mohriKShortest20,10298,10294447736
B,50,4,mohriKShortest20,1515,1527613352
B,50,64,mohriKShortest20,11598,11639286392
B,50,8,mohriKShortest20,3092,3083898408
C,100,128,mohriKShortest20,72316,72281918384
C,100,16,mohriKShortest20,9587,9317131552
C,100,2,mohriKShortest20,2198,2144051488
C,100,256,mohriKShortest20,39264,39550144312
C,100,32,mohriKShortest20,11812,11904919192
C,100,4,mohriKShortest20,3234,3224921344
C,100,64,mohriKShortest20,44735,45015971304
C,100,8,mohriKShortest20,4740,4662116888
C,150,128,mohriKShortest20,158180,160404592056
C,150,16,mohriKShortest20,16236,16332389688
C,150,2,mohriKShortest20,4831,4381931880
C,150,256,mohriKShortest20,143874,135488339856
C,150,32,mohriKShortest20,40890,38226147664
C,150,4,mohriKShortest20,7419,7310967872
C,150,64,mohriKShortest20,59924,60702157920
C,150,8,mohriKShortest20,7441,7429866568
C,200,128,mohriKShortest20,194001,199335315760
C,200,16,mohriKShortest20,14286,14257007592
C,200,2,mohriKShortest20,9402,8388391656
C,200,256,mohriKShortest20,326749,332890517440
C,200,32,mohriKShortest20,40293,36380830200
C,200,4,mohriKShortest20,8700,7569004224
C,200,64,mohriKShortest20,105935,107704029008
C,200,8,mohriKShortest20,19558,19543920240
C,250,128,mohriKShortest20,222709,228194846520
C,250,16,mohriKShortest20,29854,30446504704
C,250,2,mohriKShortest20,13451,13498131704
C,250,256,mohriKShortest20,307923,321775408928
C,250,32,mohriKShortest20,63795,65125544864
C,250,4,mohriKShortest20,13943,14244161160
C,250,64,mohriKShortest20,169699,174872450848
C,250,8,mohriKShortest20,24248,24705585832
