graph type,n,p,algorithm,time,alloc
B,100,128,mohripKShortest16,26077,27508424912
B,100,16,mohripKShortest16,5423,5516376800
B,100,2,mohripKShortest16,1398,1451399712
B,100,256,mohripKShortest16,17570,18396769568
B,100,32,mohripKShortest16,10674,11175233280
B,100,4,mohripKShortest16,1248,1299439896
B,100,64,mohripKShortest16,14627,15442928480
B,100,8,mohripKShortest16,2987,3137353696
B,150,128,mohripKShortest16,42454,44958478464
B,150,16,mohripKShortest16,9467,9910523800
B,150,2,mohripKShortest16,1978,2110462760
B,150,256,mohripKShortest16,54908,58190028024
B,150,32,mohripKShortest16,26846,28497614312
B,150,4,mohripKShortest16,4168,4289996832
B,150,64,mohripKShortest16,29912,31902540216
B,150,8,mohripKShortest16,5795,5938521680
B,200,128,mohripKShortest16,80510,87944957288
B,200,16,mohripKShortest16,16022,17190064128
B,200,2,mohripKShortest16,5906,6308378968
B,200,256,mohripKShortest16,96435,104484653584
B,200,32,mohripKShortest16,47829,51982473496
B,200,4,mohripKShortest16,6559,7062434960
B,200,64,mohripKShortest16,73372,79596668456
B,200,8,mohripKShortest16,9307,9997764392
B,250,128,mohripKShortest16,160134,176660146616
B,250,16,mohripKShortest16,21577,23535787112
B,250,2,mohripKShortest16,5950,6667912384
B,250,256,mohripKShortest16,182205,202860024480
B,250,32,mohripKShortest16,45587,49578909392
B,250,4,mohripKShortest16,8520,9145742080
B,250,64,mohripKShortest16,66841,73894535784
B,250,8,mohripKShortest16,20479,22039550960
B,300,128,mohripKShortest16,216776,233772131336
B,300,16,mohripKShortest16,47587,49818255008
B,300,2,mohripKShortest16,11175,12187607000
B,300,256,mohripKShortest16,316948,352058494312
B,300,32,mohripKShortest16,57339,60434276664
B,300,4,mohripKShortest16,13646,14336628864
B,300,64,mohripKShortest16,104536,109010694112
B,300,8,mohripKShortest16,16307,17288611480
B,350,128,mohripKShortest16,269325,298354411448
B,350,16,mohripKShortest16,41866,45409060264
B,350,2,mohripKShortest16,14232,15041139976
B,350,256,mohripKShortest16,449183,490185603344
B,350,32,mohripKShortest16,80829,84145898728
B,350,4,mohripKShortest16,19460,20569983064
B,350,64,mohripKShortest16,189795,214699966200
B,350,8,mohripKShortest16,29064,31992539688
B,400,128,mohripKShortest16,379257,438527788080
