graph type,n,p,algorithm,time,alloc
B,100,128,mohripKShortest4,1889,2509843344
B,100,16,mohripKShortest4,704,918339464
B,100,2,mohripKShortest4,236,305659152
B,100,256,mohripKShortest4,1610,2122985960
B,100,32,mohripKShortest4,1204,1601835632
B,100,4,mohripKShortest4,236,313059232
B,100,64,mohripKShortest4,1285,1688179696
B,100,8,mohripKShortest4,447,590031992
B,150,128,mohripKShortest4,5041,6543053744
B,150,16,mohripKShortest4,1645,2083300648
B,150,2,mohripKShortest4,575,767717768
B,150,256,mohripKShortest4,5938,7677553336
B,150,32,mohripKShortest4,4437,5623448048
B,150,4,mohripKShortest4,735,936285880
B,150,64,mohripKShortest4,3144,4075668752
B,150,8,mohripKShortest4,898,1175687744
B,200,128,mohripKShortest4,13947,18447273832
B,200,16,mohripKShortest4,3080,4016550328
B,200,2,mohripKShortest4,1527,1961258584
B,200,256,mohripKShortest4,11796,15522308232
B,200,32,mohripKShortest4,7659,10078642680
B,200,4,mohripKShortest4,1703,2202531456
B,200,64,mohripKShortest4,12575,16182610624
B,200,8,mohripKShortest4,2612,3432922584
B,250,128,mohripKShortest4,20330,27362305968
B,250,16,mohripKShortest4,4617,6241032304
B,250,2,mohripKShortest4,2334,3166546472
B,250,256,mohripKShortest4,26972,36263572768
B,250,32,mohripKShortest4,10189,13486218584
B,250,4,mohripKShortest4,2600,3567449872
B,250,64,mohripKShortest4,13974,18982926944
B,250,8,mohripKShortest4,4464,5898633432
B,300,128,mohripKShortest4,33722,43437146584
B,300,16,mohripKShortest4,13267,16218146376
B,300,2,mohripKShortest4,4067,5656852600
B,300,256,mohripKShortest4,51078,68350783008
B,300,32,mohripKShortest4,11823,15319289264
B,300,4,mohripKShortest4,4499,6010101504
B,300,64,mohripKShortest4,24768,31281258712
B,300,8,mohripKShortest4,5514,6988706656
B,350,128,mohripKShortest4,44201,57274533648
B,350,16,mohripKShortest4,12049,16017119352
B,350,2,mohripKShortest4,6672,8249718112
B,350,256,mohripKShortest4,78750,95506157224
B,350,32,mohripKShortest4,21718,27306457800
B,350,4,mohripKShortest4,7458,9722626544
B,350,64,mohripKShortest4,35136,47020205776
B,350,8,mohripKShortest4,8259,11323049408
B,400,128,mohripKShortest4,81607,111478073336
B,400,16,mohripKShortest4,12428,17003642752
B,400,2,mohripKShortest4,10883,13636094280
B,400,256,mohripKShortest4,149786,205814295072
B,400,32,mohripKShortest4,28298,37134447928
B,400,4,mohripKShortest4,11429,13716975736
B,400,64,mohripKShortest4,32374,43217968576
B,400,8,mohripKShortest4,10673,14476751608
B,50,128,mohripKShortest4,357,373358296
B,50,16,mohripKShortest4,171,194918704
B,50,2,mohripKShortest4,50,62031248
B,50,256,mohripKShortest4,322,364768464
B,50,32,mohripKShortest4,175,191307024
B,50,4,mohripKShortest4,55,58871224
B,50,64,mohripKShortest4,264,300791936
B,50,8,mohripKShortest4,92,107452344
C,100,128,mohripKShortest4,2958,3694461096
C,100,16,mohripKShortest4,541,649807768
C,100,2,mohripKShortest4,227,277288792
C,100,256,mohripKShortest4,1603,2005059960
C,100,32,mohripKShortest4,1010,1256347168
C,100,4,mohripKShortest4,235,312588880
C,100,64,mohripKShortest4,1978,2506688200
C,100,8,mohripKShortest4,334,414465024
C,150,128,mohripKShortest4,8344,10223293080
C,150,16,mohripKShortest4,1656,2021977760
C,150,2,mohripKShortest4,658,793336328
C,150,256,mohripKShortest4,6554,7331401872
C,150,32,mohripKShortest4,3187,3622679792
C,150,4,mohripKShortest4,859,1063872480
C,150,64,mohripKShortest4,3537,4315314800
C,150,8,mohripKShortest4,700,863171680
C,200,128,mohripKShortest4,15057,18883364736
C,200,16,mohripKShortest4,2140,2703557888
C,200,2,mohripKShortest4,1662,1763905112
C,200,256,mohripKShortest4,18326,22885829168
C,200,32,mohripKShortest4,5125,5873702680
C,200,4,mohripKShortest4,1746,1856195296
C,200,64,mohripKShortest4,8088,10069386288
C,200,8,mohripKShortest4,2319,2785370776
C,250,128,mohripKShortest4,23003,28437738744
C,250,16,mohripKShortest4,3898,4929747680
C,250,2,mohripKShortest4,2631,3362231160
C,250,256,mohripKShortest4,24808,32060169632
C,250,32,mohripKShortest4,8238,10369742808
C,250,4,mohripKShortest4,2493,3268023560
C,250,64,mohripKShortest4,14831,18479951480
C,250,8,mohripKShortest4,3795,4788864384
C,300,128,mohripKShortest4,28844,37327336104
C,300,16,mohripKShortest4,5935,7657656344
C,300,2,mohripKShortest4,4145,5445423064
C,300,256,mohripKShortest4,49543,64570245016
C,300,32,mohripKShortest4,8403,10437756088
C,300,4,mohripKShortest4,5141,6522320176
C,300,64,mohripKShortest4,19459,24028518248
C,300,8,mohripKShortest4,5645,6656340808
C,350,128,mohripKShortest4,45747,52695136904
C,350,16,mohripKShortest4,11233,14360793400
C,350,2,mohripKShortest4,6162,8345546136
C,350,256,mohripKShortest4,81588,104621528768
C,350,32,mohripKShortest4,21281,27596571512
C,350,4,mohripKShortest4,6538,8844295360
C,350,64,mohripKShortest4,25904,33275165864
C,350,8,mohripKShortest4,7491,9557508112
C,400,128,mohripKShortest4,45576,61063999888
C,400,16,mohripKShortest4,13416,17888451056
C,400,2,mohripKShortest4,8777,12206791544
C,400,256,mohripKShortest4,73723,100565454816
C,400,32,mohripKShortest4,21395,28369352648
C,400,4,mohripKShortest4,9228,12562934064
C,400,64,mohripKShortest4,34518,44700538280
C,400,8,mohripKShortest4,10241,14114267112
C,50,128,mohripKShortest4,397,441724808
C,50,16,mohripKShortest4,122,128234632
C,50,2,mohripKShortest4,46,51039768
C,50,256,mohripKShortest4,331,370583064
C,50,32,mohripKShortest4,308,343076352
C,50,4,mohripKShortest4,91,93835352
C,50,64,mohripKShortest4,248,280051928
C,50,8,mohripKShortest4,149,158974352
U,100,1,mohripKShortest4,221,266848256
U,150,1,mohripKShortest4,629,783362616
U,200,1,mohripKShortest4,1354,1723248432
U,250,1,mohripKShortest4,2461,3212505504
U,300,1,mohripKShortest4,3961,5377139640
U,350,1,mohripKShortest4,6253,8343128856
U,400,1,mohripKShortest4,8919,12236490216
U,50,1,mohripKShortest4,45,47718712
