12,202051,237166590592
12,28591,32673832784
12,17101,19666355984
12,254200,303071487656
12,56547,64962301128
12,18043,21024955320
12,83504,96624318592
12,26673,30716663768
16,319938,361247615512
16,40598,44550829640
16,23076,25523817576
16,402652,459733317736
16,84911,93348176600
16,24882,27454168848
16,125872,139715036704
16,37745,41523267472
20,481267,527072549144
20,56810,60264118888
20,31400,33244904688
20,604082,666299925880
20,123466,132159025496
20,33851,36122146696
20,195017,211201819456
20,52297,55905976768
4,61243,81748945816
4,13173,17426810888
4,9343,12545952728
4,74249,100390424776
4,19202,25593229624
4,9902,13322804512
4,28097,37257297376
4,12252,16432368408
8,118560,147724955896
8,19917,24280208824
8,12431,15398715024
8,147583,186284238624
8,34706,42335823200
8,13102,16295102720
8,50185,61609485064
8,18504,22624595104
