graph type,n,p,algorithm,time,alloc
B,100,128,mohriKShortest4,800,1063861584
B,100,16,mohriKShortest4,1244,1702288848
B,100,2,mohriKShortest4,348,459267032
B,100,256,mohriKShortest4,4732,6263812584
B,100,32,mohriKShortest4,3428,4644283088
B,100,4,mohriKShortest4,230,296567384
B,100,64,mohriKShortest4,1443,1976152144
B,100,8,mohriKShortest4,713,961856656
B,150,128,mohriKShortest4,10370,13462676912
B,150,16,mohriKShortest4,10346,13660672640
B,150,2,mohriKShortest4,721,912020360
B,150,256,mohriKShortest4,26290,34512122624
B,150,32,mohriKShortest4,16751,21887933232
B,150,4,mohriKShortest4,1209,1527998608
B,150,64,mohriKShortest4,8017,10389044024
B,150,8,mohriKShortest4,2913,3836702064
B,200,128,mohriKShortest4,38221,50796382136
B,200,16,mohriKShortest4,6459,8621364504
B,200,2,mohriKShortest4,2623,3500177864
B,200,256,mohriKShortest4,35760,47496857712
B,200,32,mohriKShortest4,42927,57280946256
B,200,4,mohriKShortest4,3639,4856285328
B,200,64,mohriKShortest4,47078,62280705840
B,200,8,mohriKShortest4,3201,4233499680
B,250,128,mohriKShortest4,177365,239022869944
B,250,16,mohriKShortest4,19790,26397292168
B,250,2,mohriKShortest4,3918,5333547752
B,250,256,mohriKShortest4,108092,144842345464
B,250,32,mohriKShortest4,13735,18260864400
B,250,4,mohriKShortest4,4915,6641858272
B,250,64,mohriKShortest4,52970,71216532768
B,250,8,mohriKShortest4,12049,16163126952
B,300,128,mohriKShortest4,55819,75767947080
B,300,16,mohriKShortest4,61600,79074871712
B,300,2,mohriKShortest4,10526,13824282648
B,300,256,mohriKShortest4,200483,262880232120
B,300,32,mohriKShortest4,13822,18067406000
B,300,4,mohriKShortest4,17693,23228710952
B,300,64,mohriKShortest4,132160,177528641536
B,300,8,mohriKShortest4,6345,8060652872
B,350,128,mohriKShortest4,388216,507732982456
B,350,16,mohriKShortest4,41817,55984880376
B,350,2,mohriKShortest4,6964,8629247216
B,350,256,mohriKShortest4,382929,521066856920
B,350,32,mohriKShortest4,25977,32942175120
