graph type,n,p,algorithm,time,alloc
B,350,4,mohriKShortest4,20265,26106895752
B,350,64,mohriKShortest4,199528,262160842608
B,350,8,mohriKShortest4,15182,20500417184
B,400,128,mohriKShortest4,298187,411795651600
B,400,16,mohriKShortest4,71602,99050460608
B,400,2,mohriKShortest4,22287,29419824576
B,400,256,mohriKShortest4,462404,639738938744
B,400,32,mohriKShortest4,108667,146778243824
B,400,4,mohriKShortest4,23864,30921013440
B,400,64,mohriKShortest4,272926,341409448976
B,400,8,mohriKShortest4,14924,20430800816
B,50,128,mohriKShortest4,390,456238744
B,50,16,mohriKShortest4,215,265425296
B,50,2,mohriKShortest4,74,81572920
B,50,256,mohriKShortest4,726,856068808
B,50,32,mohriKShortest4,354,409656184
B,50,4,mohriKShortest4,83,87813520
B,50,64,mohriKShortest4,434,519630112
B,50,8,mohriKShortest4,131,154833304
C,100,128,mohriKShortest4,3210,4090891856
C,100,16,mohriKShortest4,752,931949168
C,100,2,mohriKShortest4,248,286314120
C,100,256,mohriKShortest4,1739,2211401936
C,100,32,mohriKShortest4,915,1098919672
C,100,4,mohriKShortest4,287,335355120
C,100,64,mohriKShortest4,2230,2858779472
C,100,8,mohriKShortest4,431,495958312
C,150,128,mohriKShortest4,9756,12179408824
C,150,16,mohriKShortest4,1842,2137395480
C,150,2,mohriKShortest4,687,819684112
C,150,256,mohriKShortest4,6814,8087909336
C,150,32,mohriKShortest4,3601,4002185232
C,150,4,mohriKShortest4,779,956413360
C,150,64,mohriKShortest4,3564,4394849824
C,150,8,mohriKShortest4,900,1014060448
C,200,128,mohriKShortest4,15749,19892282616
C,200,16,mohriKShortest4,1892,2356640632
C,200,2,mohriKShortest4,1587,1835483120
C,200,256,mohriKShortest4,20617,26613540216
C,200,32,mohriKShortest4,4462,4830741336
C,200,4,mohriKShortest4,1813,1874519096
C,200,64,mohriKShortest4,11958,11476795840
C,200,8,mohriKShortest4,2272,2821278640
C,250,128,mohriKShortest4,21273,25886263512
C,250,16,mohriKShortest4,4065,5037177096
C,250,2,mohriKShortest4,2644,3437122352
C,250,256,mohriKShortest4,23944,30555704400
C,250,32,mohriKShortest4,7888,9944339304
C,250,4,mohriKShortest4,2888,3669249672
C,250,64,mohriKShortest4,15370,18883011288
C,250,8,mohriKShortest4,3916,4920550288
C,300,128,mohriKShortest4,30671,39458251856
C,300,16,mohriKShortest4,5969,7738361736
C,300,2,mohriKShortest4,4366,5689403832
C,300,256,mohriKShortest4,55017,71477164096
C,300,32,mohriKShortest4,9495,11183822680
C,300,4,mohriKShortest4,4925,6204159832
C,300,64,mohriKShortest4,19175,22913670048
C,300,8,mohriKShortest4,6923,7846946080
C,350,128,mohriKShortest4,45597,55635028408
C,350,16,mohriKShortest4,11767,14958387696
C,350,2,mohriKShortest4,6554,8740642344
C,350,256,mohriKShortest4,83839,110953510528
C,350,32,mohriKShortest4,25220,32692147752
C,350,4,mohriKShortest4,6608,8769108480
C,350,64,mohriKShortest4,28485,37052213640
C,350,8,mohriKShortest4,7484,9886581304
C,400,128,mohriKShortest4,61243,81748945816
C,400,16,mohriKShortest4,13173,17426810888
C,400,2,mohriKShortest4,9343,12545952728
C,400,256,mohriKShortest4,74249,100390424776
C,400,32,mohriKShortest4,19202,25593229624
C,400,4,mohriKShortest4,9902,13322804512
C,400,64,mohriKShortest4,28097,37257297376
C,400,8,mohriKShortest4,12252,16432368408
C,50,128,mohriKShortest4,405,486898536
C,50,16,mohriKShortest4,111,125499344
C,50,2,mohriKShortest4,53,51250720
C,50,256,mohriKShortest4,378,438629224
C,50,32,mohriKShortest4,262,290160952
C,50,4,mohriKShortest4,81,87858720
C,50,64,mohriKShortest4,288,324914232
C,50,8,mohriKShortest4,153,164736032
U,100,1,mohriKShortest4,212,277408912
U,150,1,mohriKShortest4,661,804136112
U,200,1,mohriKShortest4,1375,1757543312
U,250,1,mohriKShortest4,2505,3263630512
U,300,1,mohriKShortest4,4100,5448397712
U,350,1,mohriKShortest4,6363,8437844912
U,400,1,mohriKShortest4,9158,12357972112
U,50,1,mohriKShortest4,46,51361712
