graph type,n,p,algorithm,time,alloc
B,100,128,mohriKShortest12,4523,4905405928
B,100,16,mohriKShortest12,6090,6676789832
B,100,2,mohriKShortest12,1510,1584666776
B,100,256,mohriKShortest12,28988,31754220768
B,100,32,mohriKShortest12,16906,18610398760
B,100,4,mohriKShortest12,828,886894000
B,100,64,mohriKShortest12,11477,12681833200
B,100,8,mohriKShortest12,3005,3272456968
B,150,128,mohriKShortest12,53583,58888120944
B,150,16,mohriKShortest12,33601,37120541960
B,150,2,mohriKShortest12,2102,2294924336
B,150,256,mohriKShortest12,160143,177189392816
B,150,32,mohriKShortest12,70303,77705844168
B,150,4,mohriKShortest12,3328,3534934248
B,150,64,mohriKShortest12,42007,46545082144
B,150,8,mohriKShortest12,10362,11212873528
B,200,128,mohriKShortest12,131230,149740676192
B,200,16,mohriKShortest12,22851,25717755920
B,200,2,mohriKShortest12,7362,8284344592
B,200,256,mohriKShortest12,179911,204151446952
B,200,32,mohriKShortest12,130347,147910143256
B,200,4,mohriKShortest12,9719,10958880328
B,200,64,mohriKShortest12,232986,264403405656
B,200,8,mohriKShortest12,10042,11346517664
B,250,128,mohriKShortest12,797912,928320424640
B,250,16,mohriKShortest12,47468,54501955184
B,250,2,mohriKShortest12,8369,9494707968
B,250,256,mohriKShortest12,501618,581350259320
B,250,32,mohriKShortest12,41533,47275752968
B,250,4,mohriKShortest12,10582,12164722720
B,250,64,mohriKShortest12,156295,180814649792
B,250,8,mohriKShortest12,26070,29876751944
B,300,128,mohriKShortest12,282670,328132215488
B,300,16,mohriKShortest12,131578,142818604176
B,300,2,mohriKShortest12,20773,23533479056
B,300,256,mohriKShortest12,863517,971626874944
B,300,32,mohriKShortest12,42691,47602851992
B,300,4,mohriKShortest12,38049,43139415536
B,300,64,mohriKShortest12,237952,279918433280
B,300,8,mohriKShortest12,15984,17208455376
B,350,128,mohriKShortest12,1373563,1586205920112
B,350,16,mohriKShortest12,77191,89891098560
B,350,2,mohriKShortest12,13338,14024437984
B,350,256,mohriKShortest12,1363941,1568046214832
B,350,32,mohriKShortest12,62225,69636787360
B,350,4,mohriKShortest12,36186,40634626904
B,350,64,mohriKShortest12,554782,651239665288
B,350,8,mohriKShortest12,36017,42272292928
B,400,128,mohriKShortest12,898547,1101802100080
B,400,16,mohriKShortest12,138620,168545929072
B,400,2,mohriKShortest12,38429,43383747576
B,400,256,mohriKShortest12,1869118,2295654577672
B,400,32,mohriKShortest12,270253,325197412216
B,400,4,mohriKShortest12,34140,36996771360
B,400,64,mohriKShortest12,613536,692001196456
B,400,8,mohriKShortest12,23735,28179740200
B,50,128,mohriKShortest12,3321,3366993840
B,50,16,mohriKShortest12,1611,1640351232
B,50,2,mohriKShortest12,436,421585968
