12,898547,1101802100080
12,138620,168545929072
12,38429,43383747576
12,1869118,2295654577672
12,270253,325197412216
12,34140,36996771360
12,613536,692001196456
12,23735,28179740200
16,1410051,1660722825832
16,189483,220343825016
16,53337,56523990472
16,3058470,3601744135448
16,387168,441090119496
16,44681,46975312088
16,858650,978311627688
16,32279,37045694200
20,2129619,2424884435568
20,258897,291752319664
20,74445,73684644264
20,5016240,5339903867048
20,539184,589413251976
20,59094,59863627744
20,1217404,1345232940904
20,44815,49000668256
4,298187,411795651600
4,71602,99050460608
4,22287,29419824576
4,462404,639738938744
4,108667,146778243824
4,23864,30921013440
4,272926,341409448976
4,14924,20430800816
8,537317,693591321064
8,96948,124396383552
8,26727,33697901872
8,1046036,1352139596728
8,176950,223335331784
8,25478,29529935976
8,401475,483586017360
8,19623,25059654272
